Teste;Geracao;FO;;FOPior;Tempo;ms
ESREAL1;1;6.37153391380707E-4;Pior;6.825241342767185E-4;tempo;209
ESREAL2;1;3.2589332477073185E-6;Pior;3.544917262843228E-6;tempo;467
ESREAL2;2;6.76456011206028E-7;Pior;7.279724059117143E-7;tempo;403
ESREAL1;2;4.2022728450774594E-4;Pior;4.597472832301719E-4;tempo;147
ESREAL2;3;3.656790454442671E-6;Pior;3.899628609360661E-6;tempo;373
ESREAL1;3;0.0018519055092838244;Pior;0.001939255415891239;tempo;129
ESREAL1;4;4.73942613325562E-4;Pior;5.140549122870652E-4;tempo;126
ESREAL2;4;4.9598430678088334E-6;Pior;5.467025971483963E-6;tempo;381
ESREAL1;5;5.887750005513226E-4;Pior;6.489423876701039E-4;tempo;124
ESREAL2;5;9.414699206899968E-7;Pior;9.9907902040286E-7;tempo;371
ESREAL1;6;0.002810414793657401;Pior;0.0030269275519003713;tempo;131
ESREAL2;6;1.3596228427559254E-6;Pior;1.5938761634970433E-6;tempo;368
ESREAL2;7;2.8980887236684794E-6;Pior;3.098013166891178E-6;tempo;376
ESREAL1;7;6.198188880262023E-4;Pior;6.964159147173632E-4;tempo;126
ESREAL1;8;0.0010234639406689894;Pior;0.0010873684624357338;tempo;130
ESREAL2;8;7.174920710895094E-6;Pior;7.579570819871151E-6;tempo;446
ESREAL1;9;0.0020065874202828127;Pior;0.0021682294395759527;tempo;140
ESREAL2;9;5.676185196534789E-6;Pior;6.101908638811437E-6;tempo;404
ESREAL1;10;0.0023234372951037585;Pior;0.002663898138166587;tempo;152
ESREAL2;10;6.3545799093844835E-6;Pior;7.075675057421904E-6;tempo;394
ESREAL1;11;0.0010407486656731635;Pior;0.0011143719040092037;tempo;149
ESREAL2;11;1.843718337113387E-6;Pior;1.955846414603002E-6;tempo;423
ESREAL2;12;2.531242785153154E-6;Pior;2.7105791104986565E-6;tempo;429
ESREAL1;12;9.088017297926854E-4;Pior;0.001005367093625864;tempo;135
ESREAL1;13;9.209990013232527E-4;Pior;0.0011434278166007061;tempo;135
ESREAL2;13;4.955312647325627E-6;Pior;5.282148890728422E-6;tempo;407
ESREAL1;14;9.263064582683E-4;Pior;0.0010936683770523814;tempo;129
ESREAL2;14;1.6013873391784728E-6;Pior;1.7032937194016995E-6;tempo;397
ESREAL1;15;4.95628415592364E-4;Pior;5.330468702595681E-4;tempo;153
ESREAL2;15;1.3157271041563945E-6;Pior;1.4538215964421397E-6;tempo;441
ESREAL2;16;2.9758695063719642E-6;Pior;3.1628775332137593E-6;tempo;443
ESREAL1;16;5.814542653297394E-4;Pior;7.035057984694504E-4;tempo;127
ESREAL1;17;2.47496282213433E-4;Pior;2.7626224743926286E-4;tempo;135
ESREAL2;17;3.063976237172028E-6;Pior;3.3182579954882385E-6;tempo;396
ESREAL2;18;1.8915023929366725E-6;Pior;2.0745618485307205E-6;tempo;399
ESREAL1;18;7.788053578678955E-4;Pior;8.186179262565929E-4;tempo;146
ESREAL1;19;9.322834758904719E-4;Pior;0.001012373988373838;tempo;147
ESREAL2;19;1.4316077567855245E-6;Pior;1.551218360873463E-6;tempo;431
ESREAL1;20;0.001337394306119677;Pior;0.0014883636707736514;tempo;164
ESREAL2;20;1.5095107528395602E-6;Pior;1.6264564237644663E-6;tempo;499
ESREAL2;21;1.5761735312480596E-6;Pior;1.6558058177906787E-6;tempo;410
ESREAL1;21;5.414219775730089E-4;Pior;6.344384602243736E-4;tempo;141
ESREAL1;22;5.803083249702468E-4;Pior;6.040482845719453E-4;tempo;125
ESREAL2;22;1.7799980014387984E-6;Pior;1.9602865677370573E-6;tempo;376
ESREAL2;23;3.668324779937393E-6;Pior;3.9588790059497114E-6;tempo;397
ESREAL1;23;0.0013949345396895296;Pior;0.001533109295792201;tempo;142
ESREAL2;24;1.6108519957924727E-6;Pior;1.6954661532508908E-6;tempo;371
ESREAL1;24;0.01145166336686998;Pior;0.012344052801495309;tempo;134
ESREAL2;25;1.8282889868714847E-6;Pior;1.9833372562061413E-6;tempo;383
ESREAL1;25;0.0010202564457131302;Pior;0.001101296653700956;tempo;129
ESREAL2;26;3.1930539989843965E-6;Pior;3.4015323535641073E-6;tempo;440
ESREAL1;26;2.8266691128919774E-4;Pior;2.9093149419168185E-4;tempo;141
ESREAL2;27;1.9285829466753057E-6;Pior;2.0698159914900316E-6;tempo;436
ESREAL1;27;6.288196705099836E-4;Pior;6.834377312543438E-4;tempo;167
ESREAL1;28;0.0011546928218422181;Pior;0.001238995505332241;tempo;173
ESREAL2;28;1.3213483498475398E-6;Pior;1.377785793010844E-6;tempo;434
ESREAL2;29;1.4495481082121842E-6;Pior;1.7267074099436286E-6;tempo;473
ESREAL1;29;0.0029622928393564507;Pior;0.0031341275724798834;tempo;157
ESREAL2;30;5.421515425041434E-6;Pior;5.638214929604146E-6;tempo;418
ESREAL1;30;3.44308248827474E-4;Pior;3.9882478085928597E-4;tempo;125
